"res","f1","f2","f3","f4","f5","f6","f7","f8"
3,77,43,132,149,39,16,74,91
3,90,91,177,227,60,44,93,141
3,171,79,80,255,95,44,57,202
3,59,20,117,238,32,8,81,156
3,38,12,64,289,25,4,41,226
3,62,17,64,248,31,9,35,162
3,57,30,120,273,31,10,56,200
3,65,33,90,234,42,15,53,146
3,41,26,70,262,23,12,36,169
3,33,19,64,249,19,5,41,159
3,78,36,90,229,48,22,72,195
3,33,11,56,238,20,3,40,163
3,36,40,81,204,17,10,42,155
3,53,23,64,229,31,8,38,154
3,35,1,79,261,18,0,49,208
3,42,40,91,322,26,13,59,177
3,19,20,70,222,8,7,41,151
3,35,20,120,220,18,6,81,134
3,27,17,72,220,9,6,51,149
3,42,18,83,241,19,7,42,143
3,41,3,68,153,20,1,45,107
3,108,79,107,224,73,41,65,162
3,60,73,159,318,39,31,90,209
3,78,62,190,364,57,14,100,231
3,40,20,79,287,27,7,46,203
3,62,31,100,245,34,14,73,151
3,32,21,103,200,17,8,61,138
3,95,57,124,230,45,18,71,154
3,43,22,83,219,22,11,37,146
3,45,40,90,236,29,23,62,173
3,27,31,62,185,10,12,40,132
3,52,64,149,232,29,34,92,177
3,78,45,113,198,47,24,71,171
3,42,16,82,284,24,8,58,154
3,27,40,157,221,14,22,108,154
3,40,80,182,227,15,23,91,172
3,33,99,174,157,14,56,114,115
3,67,33,117,183,26,18,73,112
3,45,56,142,254,29,27,75,136
3,19,62,164,247,11,33,99,179
3,45,36,97,230,29,21,67,171
3,51,15,66,259,23,6,39,173
3,48,88,158,310,25,32,71,184
3,92,69,111,192,48,45,78,117
3,114,81,81,295,85,45,62,208
3,85,99,141,264,55,63,104,164
3,101,59,170,246,55,29,101,159
3,127,68,107,248,67,33,81,160
3,42,28,98,199,25,12,44,137
3,79,26,94,301,62,13,64,226
3,86,44,107,253,52,27,76,190
3,78,73,165,185,41,47,107,159
3,56,26,108,266,31,14,89,185
3,69,84,127,272,51,29,77,188
3,48,74,105,164,26,38,70,107
4,135,82,86,111,98,43,61,74
4,78,51,87,136,52,21,51,90
4,173,49,67,122,111,33,43,71
4,192,104,95,123,123,46,59,87
4,264,149,76,106,193,107,55,71
4,254,120,97,155,178,63,54,104
4,179,67,95,158,117,38,66,97
4,132,47,64,132,100,24,35,91
4,232,161,108,147,148,92,69,86
4,293,169,120,163,173,81,67,108
4,163,82,97,102,129,46,62,71
4,179,85,60,122,127,51,43,81
4,209,128,60,106,159,78,46,70
4,119,53,75,110,77,27,51,73
4,168,76,59,144,120,39,34,80
4,107,49,54,93,64,16,38,58
4,153,82,84,111,121,45,47,66
4,154,76,70,112,114,49,49,70
4,135,22,62,119,83,12,37,81
4,132,67,72,152,86,24,44,89
4,93,15,49,109,60,4,24,56
4,96,45,60,120,58,22,33,71
4,197,68,80,121,144,40,47,74
4,100,31,67,132,71,13,39,63
4,59,18,43,103,36,11,22,61
4,107,53,56,119,86,26,36,72
4,194,106,99,130,131,57,58,82
4,117,53,60,87,94,32,51,67
4,141,78,82,129,91,32,49,72
4,69,42,67,126,54,24,52,68
4,98,44,38,104,55,21,28,72
4,134,95,91,110,89,55,58,71
4,139,89,84,105,101,44,49,65
4,170,94,74,136,112,47,44,81
4,131,60,58,107,97,34,40,60
4,145,42,81,117,86,22,51,73
4,194,123,82,133,114,37,42,91
4,132,29,100,115,97,19,45,77
4,75,18,64,90,55,8,37,55
4,197,111,61,93,150,69,42,65
4,156,37,59,133,90,12,43,75
4,116,74,71,100,98,44,51,68
4,226,94,93,145,156,56,50,95
4,204,151,106,105,97,82,63,68
4,91,28,57,118,72,14,39,68
4,118,64,51,93,78,43,36,66
4,112,46,44,79,81,29,28,51
4,120,78,89,116,78,40,49,76
4,205,112,102,131,155,61,62,83
4,224,74,89,138,142,43,56,90
4,150,51,68,118,103,29,37,77
4,258,126,123,165,203,86,75,118
4,153,72,56,114,117,38,35,75
4,163,100,58,141,126,65,46,99
4,245,119,97,154,154,74,67,97
4,210,141,87,94,153,69,55,65
4,282,96,70,117,154,56,46,78
4,213,122,71,119,165,74,44,81
4,140,85,62,114,113,50,48,90
4,250,164,93,132,156,89,49,78
4,149,55,57,125,120,32,38,77
4,163,78,80,118,137,53,53,84
4,194,101,95,142,149,59,66,90
4,110,45,54,134,73,17,31,80
4,75,20,49,115,42,9,31,76
4,137,82,93,123,103,40,59,98
4,157,52,43,71,89,24,26,58
4,137,75,60,89,68,33,32,53
4,134,71,71,108,94,42,36,69
4,179,100,79,98,144,65,50,61
4,250,114,61,109,158,56,34,77
4,155,63,61,91,115,36,27,58
4,98,15,49,119,88,8,30,87
4,198,109,48,86,144,57,27,43
4,169,71,65,102,120,45,43,58
4,169,63,57,94,129,38,36,57
4,125,29,61,106,76,13,32,68
4,150,75,72,118,73,39,38,69
4,254,110,95,125,122,43,42,65
4,181,68,66,104,134,48,37,68
4,177,72,38,100,124,35,26,51
4,145,53,68,105,77,22,38,63
4,162,90,69,96,105,37,41,68
4,87,6,37,91,57,0,18,57
4,94,12,57,102,67,5,39,67
4,171,85,67,100,100,37,33,66
4,162,84,40,82,97,24,26,45
4,148,70,66,116,125,42,36,61
4,115,31,58,98,82,10,40,63
4,147,35,60,92,95,21,32,54
4,157,115,75,108,104,47,34,56
4,118,28,35,114,45,13,21,57
4,140,69,49,122,110,43,31,70
4,150,78,48,109,86,41,34,71
4,141,73,47,101,84,22,22,54
4,91,30,66,127,74,9,32,70
4,114,24,44,98,86,13,23,64
4,198,118,53,115,95,49,32,69
4,116,22,47,106,69,8,27,61
4,177,77,58,112,131,48,32,65
